Index,City,State,Hashtag,Created_At,Lat,Lng,Color,Density,Population,Counts
242,Tulsa, OK,#BlueLivesMurder,Sat Jun 20 22:36:25 +0000 2020,36.1284,-95.9043,#dbcbd8,785.0,672054.0,1
243,Columbus, Ohio,#BlueLivesMurder,Sat Jun 20 22:35:36 +0000 2020,39.986,-82.9851,#dbcbd8,1551.0,1528314.0,1
245,Milwaukee, WI,#BlueLivesMurder,Sat Jun 20 19:05:08 +0000 2020,43.0642,-87.9673,#dbcbd8,2389.0,1377808.0,1
246,Mesa, AZ,#BlueLivesMurder,Sat Jun 20 19:03:15 +0000 2020,33.4017,-111.7181,#dbcbd8,1388.0,496401.0,1
247,Seattle, WA,#BlueLivesMurder,Sat Jun 20 18:20:43 +0000 2020,47.6211,-122.3244,#dbcbd8,3336.0,3643765.0,1
249,San Francisco, CA,#BlueLivesMurder,Sat Jun 20 16:19:22 +0000 2020,37.7562,-122.443,#dbcbd8,7286.0,3603761.0,1
250,Oregon, USA,#BlueLivesMurder,Sat Jun 20 14:48:35 +0000 2020,44.56224297082228,-122.01842334217507,#dbcbd8,621.6392572944297,13825.602122015915,2
251,Detroit, MI,#BlueLivesMurder,Sat Jun 20 13:21:08 +0000 2020,42.3834,-83.1024,#dbcbd8,1873.0,3522206.0,1
254,Tucson, AZ,#BlueLivesMurder,Sat Jun 20 03:23:26 +0000 2020,32.1545,-110.8782,#dbcbd8,868.0,868391.0,1
255,Florida, USA,#BlueLivesMurder,Sat Jun 20 02:28:26 +0000 2020,28.1400878021978,-82.12263065934067,#dbcbd8,927.0826373626373,33241.92747252747,2
257,Denver, CO,#BlueLivesMurder,Sat Jun 20 01:14:47 +0000 2020,39.7621,-104.8759,#dbcbd8,1774.0,2787266.0,1
258,Atlanta, GA,#BlueLivesMurder,Sat Jun 20 00:26:59 +0000 2020,33.7627,-84.4225,#dbcbd8,1384.0,5228750.0,2
